Naam,Type,Status,URL,Toelichting,Impact IenW
5G action plan,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-5g-action-plan,,
Cybersecurity package,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-cyber-security-package,,
Revision of airport charges,Legislative,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-airport-charges,,
Europe fit for the digital age strategy,Legislative,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-digital-age-strategy,,
Future of Research and Innovation and the European Research Area,Legislative,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-research-area,,
"Horizon Europe research and innovation missions (non-legislative, Q4 2020)",Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-horizon-europe-missions,,
Revision of the provision of air services,Legislative,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-air-services,,
A new industrial strategy,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-industrial-strategy,,
A European Strategy for Data,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-data-strategy,,
Digital Finance Strategy for the EU,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-fintech-action-plan,,
Single Market Enforcement Action Plan,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-single-market-enforcement-action-plan,,
Single Market Barriers Report,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-single-market-barriers-report,,
Small and medium-sized enterprises (SMEs) strategy,Niet-regelgevend,Aangekondigd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-sme-strategy,,
